site,file_name,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009,temp
23389,df_France_Irzetal_part2.xlsx,2.8,0,0.6,1,7.135369587,4.335369682,12.35
21638,df_France_Irzetal_part2.xlsx,7,0,0,1,12.10200167,6.102001786,11.15
22652,df_France_Irzetal_part2.xlsx,7,7,0,0,22.8641119,24.8641119,12.85
21696,df_France_Irzetal_part2.xlsx,7,5.25,0,0,13.91210294,12.16210306,13.35
22142,df_France_Irzetal_part2.xlsx,2.333333333,0,0,0,12.55962865,11.39296198,12.15
22894,df_France_Irzetal_part2.xlsx,7,0,0,1,10.25011158,4.250111341,11.75
23553,df_France_Irzetal_part2.xlsx,0,0,0,0,14.62954807,13.62954807,9.95
23276,df_France_Irzetal_part2.xlsx,7,0,0,3,11.21727538,9.467275381,8.75
21851,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
23721,df_France_Irzetal_part2.xlsx,0,0,0,0,3.270762444,3.270762444,10.35
23723,df_France_Irzetal_part2.xlsx,7,1.75,0,0,11.61898947,6.368989229,10.75
21591,df_France_Irzetal_part2.xlsx,0,0,0,0,5.569768548,5.569768548,12.65
22305,df_France_Irzetal_part2.xlsx,7,0,0,0,12.63743401,5.637434006,13.25
22874,df_France_Irzetal_part2.xlsx,7,0,0,0,12.63743401,5.637434006,13.25
23114,df_France_Irzetal_part2.xlsx,3.5,0,0,0,20,18,8.95
22979,df_France_Irzetal_part2.xlsx,0,0,0,0,4.269509315,4.269509315,11.05
21668,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,10.25010467,5.750104547,11.75
22286,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
22733,df_France_Irzetal_part2.xlsx,7,7,0,0,12.95537806,12.95537806,13.55
23325,df_France_Irzetal_part2.xlsx,0,0,1,1,5.706323624,5.706323624,11.75
21698,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
22411,df_France_Irzetal_part2.xlsx,7,0,0,0,21.03384495,15.53384495,11.45
23740,df_France_Irzetal_part2.xlsx,0,0,0,0,11,11,12.05
23443,df_France_Irzetal_part2.xlsx,7,0,0,1,11.54467888,5.144678974,11.45
22115,df_France_Irzetal_part2.xlsx,0,0,0,0,3.829863906,4.079863906,11.05
22393,df_France_Irzetal_part2.xlsx,7,1.75,0,0,11.61898947,6.368989229,10.75
23199,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
21708,df_France_Irzetal_part2.xlsx,7,7,0,0,22.8641119,24.8641119,12.85
23254,df_France_Irzetal_part2.xlsx,7,7,0,0,14.85181923,18.25181904,13.15
23406,df_France_Irzetal_part2.xlsx,2.333333333,0,0,0,12.55962865,11.39296198,12.15
22497,df_France_Irzetal_part2.xlsx,7,0,0,0,12.63743401,5.637434006,13.25
21680,df_France_Irzetal_part2.xlsx,7,3.5,0,0.5,19.67430925,18.67430949,12.75
22139,df_France_Irzetal_part2.xlsx,0,0,0,0,4.316914082,4.316914082,10.65
22995,df_France_Irzetal_part2.xlsx,0,0,0,0,29.94310837,30.94310837,13.75
22910,df_France_Irzetal_part2.xlsx,5.25,1.75,0,0,19.15738702,15.40738702,9.75
22457,df_France_Irzetal_part2.xlsx,7,7,0,0,26.25,26.5,11.55
22908,df_France_Irzetal_part2.xlsx,0,0,0,0,8.274191141,8.024191141,11.65
23852,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,11.72551751,6.475517511,12.15
22775,df_France_Irzetal_part2.xlsx,7,3.5,0,0,12.42430949,8.924309492,13.45
23426,df_France_Irzetal_part2.xlsx,7,7,0,0,11.71949625,11.71949625,12.45
21928,df_France_Irzetal_part2.xlsx,0,0,0,0,3.266620159,3.266620159,10.55
22439,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
22320,df_France_Irzetal_part2.xlsx,7,0,0,0,31,30,9.95
21838,df_France_Irzetal_part2.xlsx,7,1.75,0,0,23,17.75,8.75
22498,df_France_Irzetal_part2.xlsx,0,0,0,0,36.43205595,35.43205595,12.95
23870,df_France_Irzetal_part2.xlsx,7,0,0,0,12.63743401,5.637434006,13.25
21813,df_France_Irzetal_part2.xlsx,7,0,0,1,13.5159785,11.18264516,12.65
22362,df_France_Irzetal_part2.xlsx,7,0,0,1,18.53384495,14.03384495,12.65
23787,df_France_Irzetal_part2.xlsx,0,5.25,0,0,4.116879702,9.366879821,4.15
22555,df_France_Irzetal_part2.xlsx,7,0,0,1,12.10200167,6.102001786,11.15
22761,df_France_Irzetal_part2.xlsx,7,0,0,1,10.25443625,4.004436374,10.95
21927,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
23735,df_France_Irzetal_part2.xlsx,1.4,0,0,0,5.9606987,4.560698605,11.25
21684,df_France_Irzetal_part2.xlsx,7,0,0,0,9.597104549,2.59710443,11.25
23793,df_France_Irzetal_part2.xlsx,7,1.4,0,0,11.26387939,6.26387949,12.15
22811,df_France_Irzetal_part2.xlsx,7,3.5,0,0.5,19.67430925,18.67430949,12.75
23831,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
22865,df_France_Irzetal_part2.xlsx,2.333333333,0,0,0,12.55962865,11.39296198,12.15
23267,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
21693,df_France_Irzetal_part2.xlsx,0,1.75,0,0,3.75019908,5.500199199,11.95
22489,df_France_Irzetal_part2.xlsx,5.25,0,0,0,10.81491339,5.06491363,10.85
23713,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,11.72551751,6.475517511,12.15
22300,df_France_Irzetal_part2.xlsx,7,7,0,0,15.38739529,18.58739433,12.65
22132,df_France_Irzetal_part2.xlsx,0,0,0,0,14.62954807,13.62954807,9.95
22808,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
22662,df_France_Irzetal_part2.xlsx,0,0,0,0,6.771498919,6.771498919,12.05
22422,df_France_Irzetal_part2.xlsx,7,0,0,1,14.90738702,9.657387018,8.05
22771,df_France_Irzetal_part2.xlsx,3.5,0,0,0,5.750837743,3.250837803,11.15
21918,df_France_Irzetal_part2.xlsx,0,0,0,0,4.316914082,4.316914082,10.65
21640,df_France_Irzetal_part2.xlsx,0,0,0,0,5.42394942,5.42394942,10.35
21854,df_France_Irzetal_part2.xlsx,7,0,0,0,16.6,10.2,12.15
22273,df_France_Irzetal_part2.xlsx,0,1.75,0,0,3.217275262,4.967275262,10.45
22757,df_France_Irzetal_part2.xlsx,7,0,0,1,10.68974113,4.689740896,10.25
22782,df_France_Irzetal_part2.xlsx,7,0,0,0,11.27574463,4.075744724,7.85
23887,df_France_Irzetal_part2.xlsx,0,0,1,1,11,10.25,10.55
23766,df_France_Irzetal_part2.xlsx,7,0,0,0,22.92588806,17.42588806,12.85
23200,df_France_Irzetal_part2.xlsx,0,0,0,0,4.997787952,5.247787952,11.15
21677,df_France_Irzetal_part2.xlsx,7,7,0,0,22,24.25,13.75
23478,df_France_Irzetal_part2.xlsx,0,0,0,0,41.66666667,41.66666667,13.25
22871,df_France_Irzetal_part2.xlsx,7,0,0,1,10.68974113,4.689740896,10.25
22257,df_France_Irzetal_part2.xlsx,7,0,0,1,10.36336441,4.563364315,11.45
22217,df_France_Irzetal_part2.xlsx,0,1.75,0,0,3.75019908,5.500199199,11.95
21574,df_France_Irzetal_part2.xlsx,7,0,0,1,21.56477356,15.81477404,12.95
22899,df_France_Irzetal_part2.xlsx,7,1.75,0,0,11.61898947,6.368989229,10.75
23405,df_France_Irzetal_part2.xlsx,7,0,0,0,16.6,10.2,12.15
23962,df_France_Irzetal_part2.xlsx,3.5,0,0,0,8.064913511,4.31491363,9.25
23875,df_France_Irzetal_part2.xlsx,7,3.5,0,0,12.09598207,8.595982313,13.05
23394,df_France_Irzetal_part2.xlsx,0,0,0,0,8.68205595,9.18205595,12.45
22148,df_France_Irzetal_part2.xlsx,0,0,0,0,29.94310837,30.94310837,13.75
23551,df_France_Irzetal_part2.xlsx,7,1.75,0,0,11.61898947,6.368989229,10.75
23053,df_France_Irzetal_part2.xlsx,5.25,0,0,0.25,22.86179256,23.8617928,12.35
22965,df_France_Irzetal_part2.xlsx,7,0,0,1,13.81477404,7.814774036,11.85
22366,df_France_Irzetal_part2.xlsx,7,0,0,1,10.68974113,4.689740896,10.25
21666,df_France_Irzetal_part2.xlsx,7,1.4,0,0.4,10.33407059,5.134070492,11.85
23652,df_France_Irzetal_part2.xlsx,7,0,0,0,11.27574463,4.075744724,7.85
23627,df_France_Irzetal_part2.xlsx,7,0,0,0,12.63743401,5.637434006,13.25
21859,df_France_Irzetal_part2.xlsx,7,0,0,0,16.6,10.2,12.15
23253,df_France_Irzetal_part2.xlsx,7,0,0,0,11.25924606,5.059246254,12.35
21567,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
23880,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
22131,df_France_Irzetal_part2.xlsx,7,0,0,1,13.10200167,7.352001786,11.95
21616,df_France_Irzetal_part2.xlsx,0,0,0,0,6.103638458,6.103638458,10.45
23132,df_France_Irzetal_part2.xlsx,7,1.75,0,0,17.5,12,10.95
23768,df_France_Irzetal_part2.xlsx,0,0,0,0,4.858311176,5.858311176,11.45
23083,df_France_Irzetal_part2.xlsx,0,0,0,0,7.689740896,6.689740896,11.15
21803,df_France_Irzetal_part2.xlsx,3.5,0,0,0,5.750837743,3.250837803,11.15
22893,df_France_Irzetal_part2.xlsx,0,0,0,0,7.204221368,6.454221368,10.85
22806,df_France_Irzetal_part2.xlsx,7,7,0,0,26,26,11.85
23159,df_France_Irzetal_part2.xlsx,3.5,0,0,0.25,28.25,28,12.55
23716,df_France_Irzetal_part2.xlsx,7,7,0,0,12.85559196,12.85559196,12.85
22491,df_France_Irzetal_part2.xlsx,7,1.75,0,0,11.61898947,6.368989229,10.75
23411,df_France_Irzetal_part2.xlsx,7,1.4,0,0,14.60920639,10.60920649,7.55
22583,df_France_Irzetal_part2.xlsx,0,0,0,0,9,9,10.55
22987,df_France_Irzetal_part2.xlsx,2.333333333,0,0,0,12.55962865,11.39296198,12.15
